C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
350,"Customer#000000350",lrwpel5EickFTyOXjMdeJeGg2,15,25-960-809-3690,19.31,BUILDING,tes; slyly final pinto beans are. even deposits are
351,"Customer#000000351","oMXVjvZaIt9,xt",7,17-873-420-4342,3419.54,AUTOMOBILE,ests. slyly regular requests are blithely
352,"Customer#000000352","kAJimWk97g0Oly4Ch6ame6WQQ,PvNz7pm4yt6v",9,19-906-158-8420,6257.88,HOUSEHOLD,ounts. carefully ironic excuses sleep against the even dependencies. silent pinto bean
353,"Customer#000000353",NLykoFfWPVAqgNw7MRPIi3sqj,10,20-733-644-2244,3199.03,BUILDING,grate above the slyly final requests. always special foxes haggle thin instructions. slyly sp
354,"Customer#000000354"," 5X4Kxhq,U5DKcW",2,12-545-101-2447,7095.95,BUILDING,wly pending packages. silent escapades sleep alongside of the slyly regular requests; quickly
355,"Customer#000000355","Z,V X4KR14Ib1d3,s",14,24-656-787-6091,8727.90,FURNITURE,gle quickly blithely express requests. quickly express pinto bean
356,"Customer#000000356",S9Ld37hIwg8CDfYQBZMkWi7,10,20-415-457-4421,2934.06,FURNITURE,inal decoys cajole furiously regular accounts
357,"Customer#000000357","GYo,3HNIPWzWrAgm6O9ndJ9aehT6,",18,28-452-965-8560,8747.36,AUTOMOBILE,"nal platelets dazzle. even, final pinto beans are thinly furiously "
358,"Customer#000000358",mrrsrIBFB6h4sZjETBXMtYA7zJiJ,5,15-457-255-3822,-44.66,MACHINERY,ans. carefully ironic theodolites alongside of the special packages haggle alongsi
359,"Customer#000000359","tWF6jSzzOXhYv,6I9ixda NAv",14,24-608-547-4751,6375.23,FURNITURE, after the furiously bold ideas. carefully bold ideas wake ruthle
360,"Customer#000000360","90UQHunlcX56a,aA",17,27-604-646-1645,6542.83,FURNITURE,ular accounts. quick ideas after the ironic dolphins cajole furiously unu
361,"Customer#000000361","G,lSHfh5MUYOP",20,30-164-267-4590,7451.84,BUILDING,ackages engage bold foxes-- slyly final
362,"Customer#000000362","7zO5,08d d8nNNumTp7G",17,27-651-653-4122,6149.01,AUTOMOBILE, pinto beans are quickly along the fluf
363,"Customer#000000363","ZgCJrF2q9J 5OlD07YqPzXVAiuMNq ,7ub",17,27-460-529-3937,-573.86,HOUSEHOLD,sly bold requests. furiously pending requests affix fluffily. slyly bold deposits are furiously regular excuses
364,"Customer#000000364","9aXPVbVcy FE1HhTTyA0DZ7I3h5ha,fT1cxyN",23,33-492-647-4972,32.24,HOUSEHOLD,s. blithely unusual accounts use enticingly 
365,"Customer#000000365",bI19sstZu6,24,34-708-696-5226,737.03,HOUSEHOLD,"nding accounts. regular, bold ideas believe about the slyl"
366,"Customer#000000366","CbaMGz8LDVWqoTzS89lGI,TiYu3AQGxoQ",3,13-915-531-6826,-729.74,MACHINERY,y. quickly regular dependencies b
367,"Customer#000000367",u1QnCn1oAyZ5e75hC16GMUKhWuH,13,23-939-319-4691,9108.65,HOUSEHOLD,gle furiously. slyly special requests cajole fluffily across the silently ironic th
368,"Customer#000000368",SBr9MmqWLzNg426R6jI,22,32-552-596-4994,84.72,MACHINERY,ously ironic asymptotes wake slyly final packages. final sentiments 
369,"Customer#000000369",LMZ3JLiXqnjGwf WkbeACxB0JtF75w,8,18-333-644-9832,2881.06,FURNITURE, slyly express packages integrate slyly unusual foxes. blithely even notornis are w
370,"Customer#000000370",DtqbDO5rid,12,22-524-280-8721,8982.79,FURNITURE,nstructions. furious requests across the ironic
371,"Customer#000000371",ODuHo3vJx8kurRg4XSD50aZULl,22,32-119-346-2028,7789.14,AUTOMOBILE,y. carefully special requests integrate furiously express ideas. regular pinto beans are furiou
372,"Customer#000000372",Rgbed2LPK50EM5iqC,19,29-226-339-6392,-921.91,MACHINERY,efully close ideas sleep. blithely ironic instructions promise furiously to the slyly final foxes. 
373,"Customer#000000373",ZJ arwjGPQeFhos30E5GyKeimsS tdGQqXhkn7Hh,20,30-883-170-4010,2354.06,MACHINERY,y ironic theodolites. fluffily final theodolites boost carefully slyly final
374,"Customer#000000374",MKWMGG6Z06RlcQD,22,32-282-723-3627,6718.78,AUTOMOBILE,ously silent requests haggle carefully pending deposit
375,"Customer#000000375",NVXhqomMkwfZIGJeTQQ,15,25-575-273-9756,5562.22,HOUSEHOLD,"y regular dependencies. pending, special packages shall solve blithely. special, pending dependencies will h"
376,"Customer#000000376",Xdvzwma6r7XE8Ksx6Z9uZ1yjcltQdtKM,16,26-437-952-8986,4231.45,AUTOMOBILE,inal deposits. pending deposits integrate blithely. furiously even p
377,"Customer#000000377","cqWFMxJtn0aw ,hkaWaddAhRK5r23m",23,33-260-610-4079,1043.72,MACHINERY,according to the blithely regular foxes. foxes engage blithely ironic foxes. instructions mold blithel
378,"Customer#000000378",",XXzyBeRrf80QYp9FPEWSrD3 NlKKQ2K4UbVh",22,32-147-793-4825,5718.05,BUILDING,arefully along the final packages. blith
379,"Customer#000000379",zXasoM0AZdQzJEHdi62,7,17-228-550-9246,5348.11,AUTOMOBILE,as against the furiously express deposits. regular requests cajole. final requests sleep platelets. s
380,"Customer#000000380",EYvXhOZPIBwioPc6K mftOd9MvE48GGC,21,31-538-493-4229,2755.46,BUILDING,tructions. furiously ironic accounts among the even accounts are above the furiously special ideas. slyly sp
381,"Customer#000000381",wXs5zN2nPHqPsfFO,5,15-860-208-7093,9931.71,BUILDING,"ithely along the regular, regular theodolites. fluffily pending"
382,"Customer#000000382",7NKqeREgVhE8tGq11bL9W4Vs9mQyn6uM,8,18-942-650-6657,6269.42,AUTOMOBILE,s are sometimes along the blithely pending requests. slyly regular platelets affix
383,"Customer#000000383",Jpij2L3w5nCxUAAUlFA36OqinrswWA ,2,12-868-920-9034,-849.44,MACHINERY,g blithely besides the unusual foxes. ironic theodolites integrate carefully. slyly regul
384,"Customer#000000384",HnnePYefrD78xY8ETo6ju15MNrl6uR,9,19-271-453-8361,-614.30,HOUSEHOLD, the blithely pending decoys. deposits after the carefully re
385,"Customer#000000385",thwbiZW78bCIls2MxX9w8gaR,3,13-741-675-6890,2457.09,AUTOMOBILE,"silent, fluffy deposits! silent excuses wake fluffily under the carefully final asymptotes. slyly regular as"
386,"Customer#000000386",oMauzpuIu7T9aTh6UENNa2knkbY4eRX,24,34-193-143-1425,232.01,BUILDING,pending courts use about the furiously express packages. final packages abo
387,"Customer#000000387","3HrRK,Edx,0Ag9GPZCwcFByzbj",18,28-694-363-3673,3404.23,HOUSEHOLD,cajole slyly regular ideas. quickly regular foxes use carefully about the request
388,"Customer#000000388",O5WFAnxL3GmS9,7,17-856-814-6352,1938.05,HOUSEHOLD,sts. quickly final instructions integrate furiously careful
389,"Customer#000000389","JHSgdf,0j9xiwDw3rvSHbgWswAZmccS2e",9,19-264-943-1253,-307.61,AUTOMOBILE,he even deposits are carefully carefully regular gi
390,"Customer#000000390","ezOX521D5zw,EfqEAAs5t0",4,14-812-253-6693,8862.18,HOUSEHOLD,eas are furiously even instructions. bold excuses against the silent pinto beans boost furiou
391,"Customer#000000391","BZ,850WgpZ0YSFs79Sb",11,21-604-451-4462,4801.30,HOUSEHOLD,tions wake about the blithely final instructions. excuses sleep regular requests. slyly 
392,"Customer#000000392",kTeUhdPDNc,17,27-601-793-2507,8492.33,BUILDING,thin accounts; deposits against the fluffily special accounts doubt furiously quickly even platelets! ironic epitaph
393,"Customer#000000393",a8mfzH5WWiYflqR6fk2YbM,20,30-749-949-5915,3593.57,FURNITURE, deposits cajole furiously carefully bold packages. blithely even instructions
394,"Customer#000000394",Eu4ZHz0eawjEN rtTYKqzZPzFELmIBpJ0Pg2d,23,33-422-600-6936,5200.96,MACHINERY,unts along the furiously silent packages maintain across the reques
395,"Customer#000000395","Q,U KVoFV4",15,25-804-388-6600,4582.28,HOUSEHOLD,nal requests haggle after the carefully ironic asymptotes. theodolites are blithely 
396,"Customer#000000396","FImThAoNkBbGlWs3hYTyqN8xrj2Jark3u,r",22,32-902-936-4845,1433.50,BUILDING,s. blithely close deposits after the regular accounts haggle furiously fluffi
397,"Customer#000000397",ns9YphhSV8Fpn8,7,17-103-357-8777,709.46,FURNITURE,dolites? bold packages haggle carefully after the slyly enticing packages. blithely bo
398,"Customer#000000398",PARdEzi7WPVhpSfURIfsGHFjzXrX,15,25-110-215-3747,8865.61,HOUSEHOLD,ding accounts. fluffily silent requests along the request
399,"Customer#000000399",2pwseRUdZvOokQbFkZXu6xziuOH8IqSWH73e,8,18-882-664-5454,7358.53,BUILDING,e furiously above the requests. furiously express pinto beans haggle enticingly across the ca
400,"Customer#000000400","7YXst,TmbuBEhDTEM5O",14,24-522-746-1247,-98.46,BUILDING,gle. unusual pinto beans nag care
401,"Customer#000000401",RgqfilVYUchWwMaM6JYgFgOm0D9tK,19,29-667-766-5291,4146.43,BUILDING,r theodolites. unusual ideas boost furiously f
402,"Customer#000000402","TovWB,EZKg356KCFGqA0NzZ1yADEjQd",6,16-950-729-1638,2106.67,AUTOMOBILE, after the ironic deposits. regular deposits engage boldly furiously even platelets. instruction
403,"Customer#000000403",S0p52NKLGlgzmenHM54,14,24-753-433-1769,6693.36,HOUSEHOLD,packages sleep fluffily. foxes inside the blit
404,"Customer#000000404","ZC Kwgh,VHdweYRZEJG8UIhEjl,HG",22,32-840-785-1776,7408.73,BUILDING,"anent platelets. unusual epitaphs sleep furiously; bold, regu"
405,"Customer#000000405","Foadj, hyAIHaRbJQxOYQ1 WBaltNzP1yPnSN",10,20-509-301-7901,7519.14,MACHINERY,ely unusual accounts sleep fluffily quickly unusual packages. blithely even courts haggle? slyly unusual deposits sl
406,"Customer#000000406",IZLckS4zi ZhiU2JRHKhse,9,19-426-693-4043,4286.94,FURNITURE,usual deposits around the decoys nag blithely alongside of the expr
407,"Customer#000000407",PLobRQmXjDj,1,11-975-454-8499,9537.08,MACHINERY,"egular, even theodolites-- final ideas sleep furiously. "
408,"Customer#000000408",8pHPXF0XQMRWhybTXXjnX5nGT97sY2Slp,10,20-177-807-5661,6825.37,BUILDING,"ains. special, silent asymptotes against the deposits cajole slyly about the even, special a"
409,"Customer#000000409",Fy eIowaud tZoH0P6Wi8m4VvlgfbaZibjdnR W,11,21-466-412-4731,3969.86,FURNITURE,furiously. permanently even patterns sleep blithely blithe packages. fluffily even instructions 
410,"Customer#000000410",E2QGYyraR0L26IfMJZd,7,17-576-345-5940,4349.27,BUILDING,"s wake carefully according to the ironic, ironic ideas. r"
411,"Customer#000000411","6XM0l4VuV, OzantyV0m9uLcaqyWcsIj9C72ul",18,28-483-924-1955,1209.32,HOUSEHOLD,"against the express asymptotes? even packages sleep. even platelets maintain among the regular, unusual e"
412,"Customer#000000412",WidY21a JniY2p5lgInPfBsIYKGZLEDsitYta,22,32-940-318-3191,6044.02,BUILDING,efully unusual dependencies use around the regularly ironic ideas. instructions must have to play carefully
413,"Customer#000000413","1WhEVe, xJiopTOq9Ugv",6,16-158-285-7336,5817.90,FURNITURE,"l, regular accounts sleep. carefully pending foxes thrash alongside of the ca"
414,"Customer#000000414",JWRn4jUZqlQrWVwQZ9ej,19,29-552-380-2475,527.78,AUTOMOBILE,about the dependencies. quickly final requests boost. slyly busy dolphins boost. care
415,"Customer#000000415",YXWHoaI6P0LuX,23,33-346-876-2972,2317.93,FURNITURE,"ual, ironic packages wake express, en"
416,"Customer#000000416",METjTHUz2JhL3yyd7,12,22-651-146-4780,4365.28,MACHINERY,ccounts detect after the furiously ironic ideas. fu
417,"Customer#000000417",4Xfe8CiDWlLHKhuGNj56G6wgsu3,11,21-794-364-5100,6187.73,BUILDING,y unusual instructions across the furiously final deposits are within th
418,"Customer#000000418","1M,ASZN crAK5j3k h9a0ln 9D6cF",5,15-826-508-1218,1211.39,FURNITURE,accounts haggle quickly doggedly special packages; idly pending ideas a
419,"Customer#000000419",LwP1diW65prCVtc2Y6c4Pw5R7N7H,16,26-338-447-2399,7786.69,BUILDING,nently according to the special packages. carefully ironic depths haggle
420,"Customer#000000420","k5,2pTYe4vSXrRg",20,30-776-366-5869,1999.35,BUILDING,er the slyly ironic requests. quickly ironic requests will have to x-ray blithely final excuses. blithely reg
421,"Customer#000000421",JyXE6GG1qMShSKEu,13,23-918-228-2560,7073.17,FURNITURE,ly express deposits sleep slyly. express instruct
422,"Customer#000000422","rtds1qwEinDWYhyIbRusRgXBDxGJraP,C,S zDwA",9,19-299-247-2444,-272.14,HOUSEHOLD, are carefully. slyly regular requests hag
423,"Customer#000000423",3YprmQcKXRlBlf80E,13,23-201-501-7824,95.79,BUILDING," ironic packages are. final, quick accounts haggle daringly theodolites. dolphins are about t"
424,"Customer#000000424",JWOLXHE9mRjh 0Oy0Z,19,29-891-311-6778,1866.42,HOUSEHOLD,"carefully. ironic, ironic instructions nag across the "
425,"Customer#000000425",GBXQoapgZZBl2,16,26-756-407-4828,5824.88,HOUSEHOLD,"cial deposits use fluffily above the unusual, unusual "
426,"Customer#000000426",lHlHeXsHPtKd 5U4Fm,19,29-768-330-6311,7818.25,HOUSEHOLD,"ously regular packages sleep blithely packages. express, pending "
427,"Customer#000000427",gjs3QUZ6YqlALPAIZt22BvYem4ARRN5E2,2,12-124-309-3821,4376.80,MACHINERY,ously special deposits wake quickly expr
428,"Customer#000000428",8o5HFtP3Tu1G4OjeXXf9OmHcXTEqkEc9,21,31-587-557-8211,1952.36,BUILDING,ular escapades. theodolites wake above the express pinto beans. slyly stealthy dependencies w
429,"Customer#000000429",H1py21faqlyWIQ8RKHLiHSaSNtKE7,15,25-989-936-1954,9247.21,FURNITURE,about the regular theodolites. slyly ironic dependencies along the unusual t
430,"Customer#000000430", YtLbnkkcAkLKG59zV9zVrAJ09x5E9,3,13-406-611-4228,7905.17,BUILDING,"deposits. fluffily even foxes sleep fluffily. regular, special theodolites integrate slyly furiously e"
431,"Customer#000000431",adL83Q6hGK7FppbE,6,16-326-904-6643,2273.50,HOUSEHOLD,ccording to the pending ideas. requests haggle carefully furiously 
432,"Customer#000000432",mnoCDJArKY0liRNkra7es1d3WdpRg6,23,33-307-912-9016,5715.64,BUILDING, dinos integrate carefully quickly regular d
433,"Customer#000000433","U3lxmXrMxaa,v",20,30-659-445-3595,8746.23,FURNITURE,-- regular packages sleep blithely among the fu
434,"Customer#000000434",VfkqLZJwWeqVehJMwdzK,3,13-325-443-1474,2940.46,MACHINERY," final pinto beans sleep according to the regular, even requests. requests alo"
435,"Customer#000000435","OIvHdb8PXvg2ftr5Lonq8CV O,iXrz",2,12-741-309-6377,6217.46,MACHINERY,oxes. special braids according to the bold accounts sleep special requests. carefully pend
436,"Customer#000000436","Xnodsr7SWYP527OR68RWH9,a3k89eVDOC,nV1",19,29-927-687-6390,5896.87,FURNITURE,ily regular packages haggle enticingly carefully regular deposit
437,"Customer#000000437","0ceZuyjN,AZmFOhCrTTlZetGc6p8aD29SxXIGD",4,14-364-492-8498,7760.52,AUTOMOBILE,ular excuses. regular courts cajole. blith
438,"Customer#000000438",NACRqSCQmYpqTrT1f,23,33-394-388-4375,2131.13,MACHINERY,. even foxes nag blithely. slyly final instructions sleep s
439,"Customer#000000439","YNMpPGsYztawSteM,tq5hGmWEojY,xo9HWyi5j6E",14,24-873-368-6801,-61.29,BUILDING,equests. slyly special instructions along the furiously spec
440,"Customer#000000440",wWLgeLIpxkF50DfETdKhGZnC65vdae6SsrrW09,3,13-244-480-5751,1809.04,MACHINERY,"d final excuses. quickly unusual excuses sleep closely special, final depos"
441,"Customer#000000441",LH2BOquUebTkwnQV,23,33-438-355-3491,9451.84,HOUSEHOLD,endencies. furiously final accounts around the instructions hinder furiously
442,"Customer#000000442",AwKQtMhlfcZOHser,1,11-240-523-8711,4157.00,FURNITURE, carefully pending packages wake slyly across the requests. sometimes final depo
443,"Customer#000000443",7Ntdk2Uk8sWQdBedVdY,3,13-241-131-1632,3726.22,FURNITURE,nts nag across the blithely regular foxe
444,"Customer#000000444",oSFWkTIRQ1Ug9PACUQHwaSJZvI ,1,11-402-300-1949,1505.27,HOUSEHOLD,"beans. ironic deposits after the special, bold ideas affix toward the accounts. even requests believe"
445,"Customer#000000445",f3Z6q0h6hsjkt4esBYJPgKVNoC5fvzTgdOvnzb,20,30-849-846-6070,8018.81,FURNITURE,pecial accounts. foxes wake packages. carefully special requests haggle furio
446,"Customer#000000446","Fhchv3LOJrJsfoxwT,0AKFh8Ek",24,34-321-168-5681,9225.60,FURNITURE,"ously ironic warhorses along the permanent, slow requests sleep furiously instructions: fluffily final packages abou"
447,"Customer#000000447",K51pscSbII,3,13-438-344-7007,7665.98,HOUSEHOLD,"arefully bold packages. silent, final asymptotes nod across the blithel"
448,"Customer#000000448","qjWwyEnBQPH,dKCldh4xXc63DJNLh",24,34-985-422-6009,8117.27,BUILDING,"cingly. accounts cajole furiously pending, even platelets. furiously fluffy packages sleep. asympt"
449,"Customer#000000449",oI63QtBSm2Phlz3ZQTDOJmBCR5Vp9pXIANPSj4f,4,14-893-381-6454,3001.94,MACHINERY,its. blithely special ideas affix alongside of the sometimes 
450,"Customer#000000450",h5Bx2RWNn4TF115qyytgVZWoYBN8,9,19-782-397-9006,5544.42,HOUSEHOLD,into beans boost fluffily-- ruthlessly unusual asymptotes sleep: courts according to 
451,"Customer#000000451","2hg7o,oG0p0,L21suNdY",20,30-939-275-3248,2110.59,HOUSEHOLD,ously over the instructions. blithely regular excuses
452,"Customer#000000452",17iTlO7OrKp36eI0SAn,6,16-335-974-9174,6633.70,BUILDING,e furiously carefully brave Tiresias.
453,"Customer#000000453","c1WEE5fT90nF,eyg4eLf4BZY,GC,0IzEc",8,18-209-381-8571,5678.18,HOUSEHOLD,"out the silent requests. special, even escapades boost ironic theodolit"
454,"Customer#000000454",ORCaoFXCDd lFiCzM5HlPanw,7,17-818-915-9400,6134.40,AUTOMOBILE,"accounts are furiously pending ideas. even, even accounts sleep after the furiously careful instructio"
455,"Customer#000000455", zzxzPbh013aSwId,6,16-863-225-9454,6860.34,BUILDING," requests. express, silent Tiresias nag furiously. regular accounts nag. carefully e"
456,"Customer#000000456",jK68xyFKxniV,0,10-784-971-7777,8815.78,FURNITURE,equests detect quickly slyly regular warthogs. boldly
457,"Customer#000000457","NQq4Ms5A ,vZT6vIZxsaaPrvaC3u15o48X4L",20,30-543-684-2857,5867.61,FURNITURE, instructions wake carefully after the furiously express deposits. slyly silent ideas boost. bl
458,"Customer#000000458",JigviYj KdGnR,4,14-651-706-4016,-38.42,BUILDING,"usual, silent requests against the pack"
459,"Customer#000000459","pGkjXXIgrRxqj3M3TrvqbishQ,OEqSoqmqTF",6,16-927-662-8584,1207.97,MACHINERY,e furiously slyly express tithes. carefully stealthy ideas should have to detect; special acc
460,"Customer#000000460",lPuVjEv0OyGiT,11,21-643-955-6555,5222.83,FURNITURE,"al packages. even platelets boost slyly final deposits. express,"
461,"Customer#000000461",Wwudft8q8sHP 6 To9LV,21,31-533-226-4307,9177.63,AUTOMOBILE,xpress deposits across the quickly ironic foxes doubt slyly about the bold theodo
462,"Customer#000000462",f8AzoxdmGCwBTlD O93bVc64E,21,31-157-561-4106,4522.60,HOUSEHOLD,"gular requests sleep furiously regular, ironic foxes. slyly unusual pinto beans cajole. close"
463,"Customer#000000463",g5TedU7GEYe8CWaYFvwHvkat9iH919M0e,8,18-167-214-5805,-654.50,HOUSEHOLD,he fluffily unusual pinto beans. pending deposits haggle. slyl
464,"Customer#000000464",HqqfbSKmyX1kR3yvo3HwYSjHgqmb,9,19-269-971-9738,8730.85,AUTOMOBILE,"s nag. brave, regular accounts cajole quickly special asymptotes. warhorses affi"
465,"Customer#000000465",LDKD7eDTQsIKaFaiDQG72yC,2,12-137-838-1346,8432.74,FURNITURE, even accounts across the fluffy instructions cajole furiously express deposits. final somas sleep q
466,"Customer#000000466",2iZOS11QDMLmxVonaudLW0PGx3bvDTkThigU,12,22-280-738-3240,3168.41,MACHINERY,accounts around the slyly even courts grow about the regular accounts. regular
467,"Customer#000000467","REv9GK,DnaV Ue6",11,21-449-581-5158,9398.51,MACHINERY,instructions? furiously silent instructi
468,"Customer#000000468",jOPIJryc54PDzvLum,10,20-489-960-5023,9834.19,FURNITURE,furiously ironic accounts. requests haggle slyly final requests. regular patterns
469,"Customer#000000469",i4c6ffQVayz,12,22-406-988-6460,6343.64,BUILDING,"fter the even dugouts. bold, bold packag"
470,"Customer#000000470",xRrK49xbW4AcHdhaKthyIPdooKaem,20,30-507-458-4433,3597.53,HOUSEHOLD,blithely thin excuses. fluffily pending packages sleep carefully
471,"Customer#000000471","zk ,nz grR,iKsLN1 8bCbiIQY",4,14-574-118-1005,5716.90,FURNITURE,ously bold accounts above the foxes 
472,"Customer#000000472",K4KLD E7qmduReACST2vtyk KgfAdGIebJW,12,22-940-478-1933,7929.90,MACHINERY,ves. furiously unusual packages haggle slyly above t
473,"Customer#000000473",tcX4RC2HrbxFzakN,9,19-209-647-5704,-202.22,HOUSEHOLD,"s dinos cajole blithely sly, unusual deposits. even packages us"
474,"Customer#000000474","Fwmgv1Us7,6S2PYu7krJyRR,64",21,31-247-536-6143,9165.47,MACHINERY, permanently except the special theodolites. furiously
475,"Customer#000000475",ihePHVEtf6teFP6FKUXJeylwWC4fSDB,14,24-485-422-9361,9043.55,BUILDING, are furiously ironic ideas. blithely special requests sleep q
476,"Customer#000000476",VS STkopPaH52Q5MMzSELgz,2,12-996-628-9902,5973.10,BUILDING, special instructions boost slyly. fluffily silent accounts sleep carefully about the furiously ironic accounts. qui
477,"Customer#000000477",WQ4V4kBJdKmNi8ZbNBYOjh3kSn9S,23,33-845-877-6997,1836.61,AUTOMOBILE,y regular packages use. furiously final deposits cajole fl
478,"Customer#000000478",PFtAWWSniG43yWAgtjFPN0DrhyMCDIm,1,11-655-291-2694,-210.40,BUILDING,even asymptotes haggle carefully slyl
479,"Customer#000000479",aNiIkTdPv2zQE9MavJ9,18,28-336-406-1631,3653.64,AUTOMOBILE,cuses. quickly even ideas wake furiousl
480,"Customer#000000480",4ta8b voMcs4bnXUgXrE31WJDpehcVC,7,17-231-147-5851,2750.71,FURNITURE,the asymptotes. carefully even accounts breach blithely. slyly unusual deposits am
481,"Customer#000000481","DWuQTiY,dAkeSm,uGj0dhMZKbt,WcAjD",21,31-363-392-6461,7157.21,FURNITURE,accounts above the theodolites cajole slyly ironic packages. quickly
482,"Customer#000000482","YSR9KeozE57gI9zHE aaFR,uushIiude,",13,23-732-448-1610,4333.37,HOUSEHOLD,"lly above the final, final packages. furiously regular dolphins nag. carefully regular deposits cajole carefully ag"
483,"Customer#000000483",3wZa5sZhz5sRz5PexL9wODB y0L uVZ,11,21-799-189-1135,8877.20,MACHINERY,deas. platelets are according t
484,"Customer#000000484",JzEsF7s A9f9k4Epm66HHpzI,20,30-777-953-8902,4245.00,BUILDING,"nal, ironic gifts are against the blithely final foxes-- quickly quick ideas sleep fluffily."
485,"Customer#000000485",4MlPw4oa0h,19,29-434-961-1623,8695.45,MACHINERY,blithely silent requests eat slyly with the blithely
486,"Customer#000000486",ZO33QVe8uRpk6,21,31-787-534-8723,7487.40,AUTOMOBILE,accounts wake slyly along the blithely ironic dependencies-- even deposits boost fur
487,"Customer#000000487","D7O0FSNqLSd,AccfbWb,5l7xk9",2,12-111-401-4259,9749.37,AUTOMOBILE, requests. furiously pending dolphins accordi
488,"Customer#000000488",QpOeHmb7tz97Q7NkOCc,3,13-513-778-1881,-275.58,AUTOMOBILE,t. bold theodolites are furiously according to th
489,"Customer#000000489",liN4Wj5KMA5ep3Del1kj9SGEJw,4,14-916-241-6195,8255.83,AUTOMOBILE,rges. regular ideas affix in place of the express ideas. c
490,"Customer#000000490",sUULkYltPRXUO5a jR1X6eds91tLjehimp,22,32-268-147-7824,-213.85,FURNITURE,"c foxes mold against the even deposits-- regular, final packages snooze carefully around the carefully u"
491,"Customer#000000491","AXsbcyMDujG,CAiEu4FmufbZ1k",0,10-856-259-7548,785.37,AUTOMOBILE,"ly final, even hockey players. carefully final ideas w"
492,"Customer#000000492",iMuqKffx6jDmF2lRgu0JiOqbZQZkGD3C2jagtu,8,18-686-244-1077,8635.18,AUTOMOBILE,packages. slyly regular accounts cajole against the pearls; furiously regular asymptotes are blithely pen
493,"Customer#000000493",lrN9pIuEppyKZrua8QU5w9OJloy6VP,16,26-514-558-7246,6582.04,MACHINERY,es wake carefully bold courts. regular instructions nag. even pinto beans nag slyly fluffily fin
494,"Customer#000000494",lgK7HklFa o14OGNy8AJ2oCBpKEoJGEi,10,20-330-453-6579,6295.47,FURNITURE,oxes. express accounts cajole slyly about the special instru
495,"Customer#000000495","bJlPmxUgPajvL1zsZG y,MqogjXZwXJte",7,17-400-405-6060,7997.81,BUILDING,"e carefully slow requests-- ironic, bold ideas sleep slyly aft"
496,"Customer#000000496",3SC2fGjEMU2WLmsH7x,12,22-173-644-7922,8174.82,MACHINERY,ic deposits. blithely unusual requests are across the enticingly express accounts. pinto beans wak
497,"Customer#000000497",0sA994qu6PDZhrgovneHmNMVL4nvDr,23,33-937-724-3506,2191.59,BUILDING, the carefully final asymptote
498,"Customer#000000498",",4DHQSITgqpXju8Wtq7g1iDSaVqjOm7 ,LV8B",19,29-210-810-1479,3945.64,BUILDING,y above the blithely final foxes. blithely special ideas sleep fluffily. fluffily even excuses haggle acco
499,"Customer#000000499",FZJcX63a5Pw7PhRSjv,14,24-387-817-9149,4293.76,HOUSEHOLD,ithely quickly regular sheaves. fluffily final waters affix carefully silent pinto beans. theod
500,"Customer#000000500",MtTAuWLjfJPPlfRYNxHR,4,14-194-736-4233,3300.82,AUTOMOBILE,ntegrate furiously carefully even accounts. blithely pending sentiments nag f
501,"Customer#000000501",GsG2qWoUvQ1v3,13,23-867-672-1331,1909.35,FURNITURE," deposits are blithely. ironic, ironic somas use. deposits doubt during the s"
502,"Customer#000000502",ECxqlVGMNDlz4mJb2t5B9DDby,11,21-405-590-9919,1378.67,HOUSEHOLD,s boost furiously. slyly regular theodolites haggle quickly along the q
503,"Customer#000000503",Uuof2lfoBl70yChqibi iPfixgCGSZKriugsQMV1,20,30-441-755-3094,3213.66,MACHINERY,leep. slyly quick accounts are. a
504,"Customer#000000504","Zkx9uXBcfmb46TLicQ0ro2IgSjxez3afcVns,",10,20-916-264-7594,0.51,FURNITURE,ly final excuses against the sly requests haggle 
505,"Customer#000000505","fq6GvrtmwKVZ9FofCEzBfz,4s3Q0dz",2,12-530-647-8313,6557.51,HOUSEHOLD,he ironic accounts. boldly regular accounts wake carefully slyly ruthless platelets. fluffily final instruct
506,"Customer#000000506",O7rGlRhvvZq,13,23-895-781-8227,1179.85,HOUSEHOLD,ronic packages. blithely special foxes haggle quickly even tithes. braids across the fluffily spe
507,"Customer#000000507","bFq,lPrUM0AUTxKn8sA",14,24-158-185-4455,5727.00,MACHINERY,y after the slyly thin accounts. blithely regular requests are quickly. unusual pinto beans cajole even
508,"Customer#000000508",BR5ARsD7 6xu,18,28-344-250-3166,1685.90,BUILDING,"en courts. carefully final packages sleep against the slyly regular pinto beans. final, final accounts detect qu"
509,"Customer#000000509","gjf9,jgahj6lZr,7wpdbgA,",4,14-115-338-1002,7885.50,FURNITURE,"lar requests sleep slyly express ideas. bold, final de"
510,"Customer#000000510","AULXWyuydior2pxr3BcRXpgtAIGe,AF7VD,aENRf",5,15-846-260-5139,1572.48,HOUSEHOLD,"ies haggle. ironic, bold pinto "
511,"Customer#000000511",GaoRgM4r4TUi2yhIqK81LxdsuI2r 2HXyUFPuL8J,13,23-247-728-9743,4571.31,FURNITURE,"s are furiously ironic requests. ironic, final deposits haggle quickly i"
512,"Customer#000000512",NVrGtFwHLU6HQTyezfrXOLIg,2,12-144-416-6035,3937.58,BUILDING," final foxes. final, special ideas are. carefully final ins"
